"Reference","Value","Internal Part Number","PValue","Populated"
"BT1","1-0000246","1-0000246","CR1220","1"
"C1","1-0000136","1-0000136","4.7uF","1"
"C2","1-0000136","1-0000136","4.7uF","1"
"C3","1-0000007","1-0000007","0.1uF","0"
"C4","1-0000007","1-0000007","0.1uF","0"
"C5","1-0000007","1-0000007","0.1uF","1"
"C6","1-0000007","1-0000007","0.1uF","1"
"C7","1-0000007","1-0000007","0.1uF","1"
"C8","1-0000007","1-0000007","0.1uF","1"
"C9","1-0000007","1-0000007","0.1uF","1"
"C10","1-0000075","1-0000075","10uF","0"
"C11","1-0000018","1-0000018","1uF","0"
"C12","1-0000007","1-0000007","0.1uF","0"
"C13","1-0000007","1-0000007","0.1uF","1"
"C14","1-0000007","1-0000007","0.1uF","1"
"C15","1-0000007","1-0000007","0.1uF","0"
"C16","1-0000007","1-0000007","0.1uF","1"
"D1","1-0001672","1-0001672","BZX84C15","1"
"D2","1-0001537","1-0001537","SMBJ64A","1"
"D3","1-0000599","1-0000599","Blue","0"
"D4","1-0000601","1-0000601","Yellow","0"
"F1","1-0001517","1-0001517","1A","1"
"FID1","Fiducial_1mm_2mm","0-0000000","Fiducial","0"
"FID2","Fiducial_1mm_2mm","0-0000000","Fiducial","0"
"J1","1-0001205","1-0001205","Qwiic","1"
"J2","1-0001156","1-0001156","4 Pos","1"
"J3","1-0001156","1-0001156","4 Pos","1"
"J4","NP_Conn_01x02_Relief","0-0000000","NP_Conn_01x02","0"
"J5","NP_Conn_01x02_Relief","0-0000000","NP_Conn_01x02","0"
"J6","NP_Conn_01x04","0-0000000","ISCP","0"
"J7","NP_Conn_01x02","0-0000000","Reset","0"
"J8","1-0000050","1-0000050","XBee Socket","0"
"J9","1-0000190","1-0000190","DM3CS","1"
"L1","1-0000931","1-0000931","3.3uH","1"
"PCB1","barepcb","3-0000267","Bare PCB","1"
"PS1","1-0000727","1-0000727","TSR 0.5","1"
"Q1","1-0001670","1-0001670","SQ2337ES","1"
"R1","1-0000174","1-0000174","100k","1"
"R2","1-0000009","1-0000009","NP","0"
"R3","1-0000010","1-0000010","10k","1"
"R4","1-0000010","1-0000010","10k","1"
"R5","1-0000010","1-0000010","10k","1"
"R6","1-0000010","1-0000010","10k","1"
"R7","1-0000010","1-0000010","10k","1"
"R8","1-0000006","1-0000006","NP","0"
"R9","1-0000174","1-0000174","100k","1"
"R10","1-0000010","1-0000010","10k","1"
"R11","1-0000006","1-0000006","NP","0"
"R12","1-0000174","1-0000174","100k","1"
"R13","1-0000010","1-0000010","10k","1"
"R14","1-0000008","1-0000008","150","0"
"R15","1-0000006","1-0000006","NP","0"
"R16","1-0000008","1-0000008","150","0"
"R17","1-0000174","1-0000174","100k","1"
"R18","1-0000174","1-0000174","100k","1"
"U1","1-0001471","1-0001471","BME688","0"
"U2","1-0000207","1-0000207","STM32F103","1"
"U3","1-0000446","1-0000446","SAM-M8Q-0-10","1"
"U4","1-0000785","1-0000785","XB3-24","0"
"Y1","1-0000721","1-0000721","8MHz","1"
